 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
   18	      0	   1285	   1553	   1826	   2101	   2377	   2649	   2921	   3198	   3476	   3750	   4024	   4299	   4579	   4860	   5139	   5420	   5703	   6021	   6342	   6622	   6903	   7184	   7461	   7742	   8025	   8300	   8578	   8853	   9125	   9395	   9660	   9922	  10181	  10425	  10664	  10889	  11105	      0	
   19	      0	   1285	   1553	   1826	   2101	   2376	   2648	   2921	   3197	   3476	   3750	   4024	   4299	   4579	   4859	   5139	   5420	   5703	   6021	   6342	   6622	   6903	   7184	   7461	   7742	   8025	   8301	   8579	   8853	   9125	   9395	   9661	   9923	  10181	  10425	  10664	  10890	  11105	      0	
   20	      0	   1285	   1553	   1826	   2101	   2376	   2648	   2921	   3197	   3476	   3750	   4024	   4299	   4580	   4860	   5138	   5420	   5703	   6021	   6342	   6622	   6903	   7184	   7461	   7743	   8025	   8301	   8579	   8854	   9126	   9395	   9661	   9923	  10182	  10425	  10664	  10891	  11105	      0	
   21	      0	   1285	   1553	   1825	   2101	   2376	   2648	   2921	   3197	   3475	   3750	   4024	   4299	   4580	   4860	   5138	   5420	   5703	   6021	   6342	   6622	   6904	   7184	   7461	   7743	   8026	   8301	   8580	   8854	   9126	   9396	   9661	   9923	  10182	  10425	  10664	  10891	  11105	      0	
   22	      0	   1285	   1553	   1825	   2101	   2376	   2648	   2920	   3197	   3475	   3749	   4024	   4299	   4580	   4860	   5138	   5420	   5703	   6021	   6343	   6622	   6904	   7184	   7461	   7743	   8026	   8301	   8580	   8855	   9126	   9396	   9661	   9924	  10183	  10425	  10665	  10892	  11105	      0	
   23	      0	   1285	   1553	   1825	   2100	   2375	   2647	   2920	   3197	   3475	   3749	   4024	   4299	   4580	   4860	   5138	   5420	   5703	   6021	   6343	   6622	   6904	   7184	   7461	   7743	   8026	   8301	   8580	   8855	   9127	   9397	   9662	   9924	  10183	  10425	  10665	  10892	  11104	      0	
   24	      0	   1285	   1553	   1825	   2100	   2375	   2647	   2920	   3197	   3475	   3749	   4023	   4299	   4580	   4860	   5137	   5419	   5703	   6021	   6343	   6623	   6904	   7184	   7461	   7743	   8026	   8302	   8581	   8855	   9127	   9397	   9662	   9924	  10184	  10425	  10665	  10893	  11104	      0	
   25	      0	   1284	   1553	   1825	   2100	   2375	   2647	   2920	   3197	   3475	   3749	   4023	   4299	   4580	   4860	   5137	   5419	   5703	   6021	   6343	   6623	   6904	   7185	   7461	   7743	   8026	   8302	   8581	   8856	   9127	   9398	   9662	   9925	  10184	  10426	  10666	  10893	  11103	      0	
   26	      0	   1284	   1553	   1824	   2100	   2375	   2647	   2920	   3196	   3475	   3749	   4023	   4299	   4580	   4860	   5137	   5419	   5703	   6021	   6343	   6623	   6904	   7185	   7461	   7743	   8027	   8302	   8581	   8856	   9128	   9398	   9663	   9925	  10185	  10426	  10666	  10893	  11103	      0	
   27	      0	   1284	   1552	   1824	   2099	   2374	   2647	   2919	   3196	   3474	   3748	   4023	   4299	   4580	   4860	   5136	   5419	   5703	   6021	   6343	   6623	   6904	   7185	   7460	   7743	   8027	   8303	   8582	   8857	   9128	   9399	   9663	   9925	  10185	  10426	  10666	  10892	  11102	      0	
