 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
  155	      0	   1277	   1543	   1814	   2093	   2371	   2642	   2916	   3194	   3473	   3748	   4022	   4300	   4583	   4866	   5147	   5430	   5715	   6035	   6357	   6638	   6923	   7206	   7482	   7768	   8054	   8333	   8613	   8890	   9164	   9435	   9701	   9966	  10225	  10469	  10707	  10932	  11147	      0	
  156	      0	   1277	   1543	   1814	   2092	   2371	   2642	   2916	   3195	   3473	   3747	   4022	   4300	   4583	   4866	   5147	   5429	   5714	   6034	   6356	   6638	   6923	   7206	   7482	   7768	   8054	   8332	   8612	   8890	   9163	   9434	   9701	   9966	  10225	  10469	  10707	  10932	  11146	      0	
  157	      0	   1277	   1543	   1814	   2092	   2371	   2642	   2916	   3194	   3472	   3747	   4021	   4300	   4583	   4866	   5147	   5429	   5714	   6034	   6356	   6637	   6922	   7205	   7481	   7767	   8054	   8332	   8612	   8890	   9163	   9434	   9701	   9966	  10225	  10469	  10707	  10932	  11145	      0	
  158	      0	   1277	   1543	   1813	   2092	   2370	   2642	   2916	   3194	   3472	   3747	   4021	   4300	   4583	   4866	   5146	   5429	   5714	   6033	   6356	   6637	   6922	   7205	   7481	   7767	   8053	   8332	   8612	   8889	   9162	   9433	   9701	   9966	  10224	  10469	  10707	  10932	  11145	      0	
  159	      0	   1276	   1543	   1813	   2092	   2370	   2642	   2916	   3194	   3471	   3746	   4021	   4300	   4583	   4866	   5146	   5428	   5713	   6033	   6355	   6637	   6922	   7205	   7481	   7766	   8053	   8332	   8611	   8889	   9162	   9433	   9700	   9965	  10224	  10469	  10706	  10932	  11144	      0	
  160	      0	   1276	   1543	   1813	   2092	   2370	   2642	   2916	   3194	   3471	   3746	   4021	   4300	   4582	   4866	   5146	   5428	   5712	   6032	   6355	   6637	   6922	   7204	   7480	   7766	   8052	   8331	   8611	   8888	   9162	   9432	   9700	   9965	  10224	  10468	  10706	  10931	  11144	      0	
  161	      0	   1276	   1542	   1813	   2091	   2370	   2641	   2916	   3194	   3471	   3746	   4021	   4300	   4582	   4866	   5146	   5428	   5712	   6032	   6355	   6637	   6922	   7204	   7480	   7766	   8052	   8331	   8610	   8888	   9161	   9432	   9700	   9964	  10223	  10468	  10706	  10931	  11144	      0	
  162	      0	   1276	   1542	   1813	   2091	   2369	   2641	   2917	   3194	   3470	   3746	   4021	   4300	   4582	   4865	   5146	   5427	   5711	   6031	   6354	   6637	   6921	   7204	   7480	   7765	   8052	   8330	   8610	   8888	   9161	   9431	   9699	   9964	  10223	  10468	  10705	  10931	  11143	      0	
  163	      0	   1276	   1542	   1813	   2091	   2369	   2641	   2917	   3194	   3470	   3746	   4021	   4300	   4582	   4865	   5145	   5427	   5710	   6031	   6354	   6637	   6921	   7203	   7480	   7765	   8051	   8330	   8610	   8887	   9160	   9431	   9699	   9964	  10223	  10467	  10705	  10930	  11143	      0	
  164	      0	   1276	   1542	   1813	   2091	   2369	   2641	   2916	   3193	   3470	   3746	   4022	   4299	   4582	   4865	   5145	   5426	   5710	   6030	   6354	   6636	   6921	   7203	   7479	   7765	   8050	   8329	   8609	   8887	   9160	   9430	   9698	   9963	  10223	  10467	  10704	  10930	  11143	      0	
  165	      0	   1276	   1542	   1813	   2091	   2369	   2641	   2916	   3193	   3470	   3746	   4022	   4299	   4582	   4865	   5145	   5426	   5709	   6029	   6353	   6636	   6921	   7203	   7479	   7764	   8050	   8329	   8609	   8886	   9159	   9430	   9698	   9963	  10222	  10467	  10704	  10930	  11143	      0	
  166	      0	   1276	   1542	   1813	   2091	   2368	   2641	   2916	   3193	   3469	   3746	   4022	   4300	   4583	   4865	   5145	   5426	   5708	   6029	   6353	   6636	   6921	   7203	   7479	   7764	   8049	   8328	   8609	   8886	   9159	   9429	   9698	   9963	  10222	  10466	  10703	  10930	  11142	      0	
  167	      0	   1276	   1542	   1813	   2090	   2368	   2641	   2916	   3193	   3469	   3746	   4022	   4300	   4583	   4865	   5144	   5425	   5708	   6028	   6353	   6636	   6921	   7202	   7478	   7763	   8048	   8328	   8608	   8885	   9158	   9429	   9697	   9962	  10221	  10466	  10703	  10929	  11142	      0	
  168	      0	   1276	   1542	   1813	   2090	   2368	   2641	   2915	   3192	   3469	   3747	   4022	   4300	   4583	   4865	   5144	   5425	   5708	   6028	   6352	   6636	   6920	   7202	   7478	   7763	   8048	   8327	   8608	   8885	   9158	   9429	   9697	   9962	  10221	  10466	  10703	  10929	  11141	      0	
  169	      0	   1276	   1542	   1813	   2090	   2367	   2640	   2915	   3192	   3470	   3747	   4023	   4300	   4583	   4865	   5143	   5424	   5707	   6028	   6352	   6636	   6920	   7201	   7477	   7762	   8047	   8327	   8607	   8884	   9157	   9428	   9696	   9961	  10221	  10465	  10702	  10928	  11141	      0	
  170	      0	   1276	   1542	   1813	   2090	   2367	   2640	   2915	   3192	   3470	   3748	   4023	   4300	   4584	   4864	   5143	   5424	   5707	   6027	   6352	   6636	   6920	   7200	   7477	   7761	   8047	   8326	   8606	   8884	   9157	   9428	   9696	   9961	  10220	  10465	  10701	  10927	  11140	      0	
  171	      0	   1276	   1542	   1813	   2090	   2367	   2640	   2914	   3191	   3470	   3748	   4023	   4300	   4584	   4864	   5142	   5424	   5707	   6027	   6352	   6635	   6919	   7199	   7476	   7761	   8046	   8326	   8606	   8883	   9156	   9427	   9695	   9960	  10220	  10464	  10701	  10927	  11140	      0	
  172	      0	   1276	   1542	   1813	   2090	   2367	   2640	   2914	   3191	   3470	   3749	   4023	   4301	   4584	   4864	   5142	   5423	   5706	   6027	   6352	   6635	   6919	   7199	   7475	   7760	   8046	   8326	   8605	   8883	   9156	   9427	   9695	   9960	  10220	  10464	  10700	  10926	  11139	      0	
  173	      0	   1276	   1542	   1813	   2090	   2366	   2640	   2914	   3191	   3471	   3749	   4024	   4301	   4585	   4863	   5141	   5423	   5706	   6027	   6351	   6635	   6918	   7198	   7475	   7760	   8045	   8325	   8605	   8882	   9156	   9427	   9694	   9959	  10219	  10464	  10700	  10925	  11139	      0	
  174	      0	   1275	   1542	   1813	   2089	   2366	   2640	   2913	   3191	   3471	   3750	   4024	   4301	   4585	   4863	   5141	   5423	   5706	   6027	   6351	   6635	   6918	   7198	   7474	   7759	   8044	   8325	   8604	   8882	   9155	   9426	   9694	   9959	  10219	  10463	  10699	  10925	  11138	      0	
  175	      0	   1275	   1542	   1814	   2089	   2366	   2639	   2913	   3190	   3471	   3750	   4024	   4301	   4585	   4863	   5141	   5423	   5706	   6027	   6351	   6634	   6917	   7197	   7474	   7759	   8044	   8324	   8604	   8881	   9155	   9426	   9693	   9958	  10218	  10463	  10699	  10924	  11138	      0	
  176	      0	   1275	   1542	   1814	   2089	   2366	   2639	   2912	   3190	   3471	   3751	   4024	   4301	   4585	   4863	   5141	   5423	   5706	   6026	   6350	   6634	   6917	   7196	   7473	   7758	   8043	   8324	   8603	   8880	   9154	   9425	   9693	   9958	  10218	  10462	  10698	  10923	  11137	      0	
  177	      0	   1275	   1542	   1813	   2089	   2366	   2639	   2912	   3190	   3471	   3751	   4024	   4301	   4585	   4863	   5140	   5422	   5706	   6026	   6350	   6634	   6917	   7196	   7473	   7757	   8043	   8323	   8603	   8879	   9153	   9425	   9692	   9957	  10217	  10462	  10698	  10923	  11137	      0	
  178	      0	   1275	   1541	   1813	   2089	   2366	   2639	   2912	   3190	   3471	   3751	   4024	   4301	   4584	   4862	   5140	   5422	   5706	   6026	   6350	   6633	   6916	   7196	   7472	   7757	   8042	   8323	   8602	   8879	   9153	   9425	   9692	   9957	  10217	  10461	  10697	  10922	  11136	      0	
  179	      0	   1275	   1541	   1813	   2090	   2366	   2639	   2912	   3189	   3471	   3751	   4024	   4301	   4584	   4862	   5140	   5422	   5706	   6026	   6349	   6633	   6916	   7195	   7472	   7756	   8042	   8322	   8601	   8878	   9153	   9424	   9691	   9956	  10216	  10461	  10697	  10922	  11136	      0	
  180	      0	   1275	   1541	   1813	   2090	   2366	   2638	   2911	   3189	   3471	   3751	   4024	   4301	   4584	   4862	   5140	   5422	   5706	   6026	   6349	   6632	   6915	   7195	   7472	   7756	   8041	   8322	   8601	   8877	   9152	   9424	   9691	   9955	  10215	  10460	  10696	  10921	  11135	      0	
  181	      0	   1275	   1541	   1813	   2090	   2366	   2638	   2911	   3189	   3471	   3751	   4024	   4301	   4584	   4861	   5139	   5422	   5706	   6025	   6348	   6632	   6915	   7194	   7471	   7755	   8041	   8321	   8600	   8877	   9152	   9423	   9690	   9955	  10214	  10459	  10696	  10921	  11134	      0	
  182	      0	   1275	   1541	   1814	   2090	   2366	   2638	   2911	   3189	   3471	   3750	   4024	   4300	   4583	   4861	   5139	   5422	   5706	   6025	   6348	   6632	   6914	   7194	   7471	   7755	   8040	   8320	   8600	   8876	   9151	   9422	   9689	   9954	  10213	  10458	  10695	  10920	  11134	      0	
  183	      0	   1275	   1542	   1814	   2090	   2366	   2638	   2911	   3189	   3471	   3750	   4023	   4300	   4583	   4861	   5139	   5422	   5705	   6025	   6348	   6631	   6914	   7194	   7470	   7755	   8040	   8320	   8599	   8876	   9150	   9422	   9689	   9953	  10213	  10458	  10695	  10920	  11133	      0	
  184	      0	   1275	   1542	   1813	   2090	   2367	   2639	   2911	   3189	   3470	   3749	   4023	   4300	   4583	   4861	   5139	   5422	   5705	   6025	   6348	   6631	   6914	   7193	   7470	   7754	   8039	   8319	   8598	   8875	   9150	   9421	   9688	   9953	  10212	  10457	  10694	  10919	  11133	      0	
  185	      0	   1275	   1542	   1813	   2090	   2367	   2639	   2911	   3189	   3470	   3749	   4023	   4299	   4582	   4860	   5139	   5422	   5705	   6024	   6348	   6631	   6913	   7193	   7469	   7754	   8039	   8319	   8598	   8875	   9149	   9421	   9688	   9952	  10211	  10456	  10693	  10919	  11132	      0	
  186	      0	   1275	   1542	   1813	   2091	   2367	   2638	   2911	   3189	   3470	   3748	   4022	   4299	   4581	   4860	   5139	   5422	   5705	   6024	   6347	   6630	   6913	   7192	   7469	   7753	   8038	   8318	   8597	   8874	   9149	   9420	   9687	   9951	  10210	  10455	  10693	  10918	  11132	      0	
  187	      0	   1275	   1542	   1813	   2091	   2368	   2638	   2911	   3189	   3469	   3747	   4022	   4298	   4581	   4860	   5139	   5422	   5704	   6024	   6347	   6630	   6913	   7192	   7469	   7753	   8038	   8317	   8597	   8874	   9148	   9420	   9686	   9950	  10210	  10454	  10692	  10918	  11131	      0	
  188	      0	   1275	   1542	   1814	   2091	   2368	   2639	   2910	   3189	   3469	   3747	   4022	   4298	   4580	   4860	   5139	   5421	   5704	   6023	   6347	   6630	   6913	   7192	   7469	   7753	   8037	   8317	   8597	   8874	   9148	   9419	   9686	   9950	  10209	  10454	  10691	  10917	  11131	      0	
  189	      0	   1275	   1542	   1814	   2091	   2368	   2639	   2910	   3189	   3469	   3746	   4021	   4297	   4579	   4860	   5139	   5422	   5703	   6023	   6347	   6629	   6912	   7192	   7468	   7752	   8037	   8316	   8597	   8873	   9147	   9418	   9686	   9949	  10208	  10453	  10691	  10917	  11130	      0	
  190	      0	   1275	   1542	   1814	   2092	   2368	   2639	   2911	   3189	   3468	   3745	   4021	   4297	   4579	   4860	   5139	   5421	   5703	   6023	   6346	   6629	   6912	   7192	   7468	   7752	   8036	   8316	   8596	   8873	   9146	   9418	   9685	   9948	  10207	  10452	  10691	  10917	  11130	      0	
  191	      0	   1275	   1542	   1814	   2092	   2369	   2639	   2911	   3189	   3468	   3745	   4021	   4297	   4579	   4860	   5139	   5421	   5702	   6022	   6346	   6629	   6912	   7192	   7468	   7752	   8036	   8316	   8596	   8872	   9146	   9417	   9684	   9948	  10206	  10451	  10690	  10916	  11129	      0	
  192	      0	   1275	   1542	   1814	   2092	   2369	   2639	   2911	   3189	   3468	   3744	   4020	   4296	   4578	   4860	   5139	   5421	   5702	   6022	   6346	   6629	   6912	   7192	   7468	   7751	   8036	   8315	   8596	   8872	   9145	   9417	   9684	   9947	  10206	  10451	  10689	  10915	  11129	      0	
  193	      0	   1275	   1543	   1814	   2092	   2369	   2640	   2911	   3189	   3468	   3744	   4020	   4296	   4578	   4860	   5139	   5421	   5702	   6022	   6346	   6628	   6911	   7191	   7467	   7751	   8035	   8315	   8595	   8871	   9145	   9416	   9683	   9946	  10205	  10450	  10689	  10915	  11128	      0	
  194	      0	   1275	   1543	   1814	   2092	   2370	   2640	   2912	   3189	   3468	   3744	   4020	   4296	   4577	   4860	   5139	   5421	   5701	   6022	   6346	   6628	   6911	   7191	   7467	   7751	   8035	   8314	   8595	   8871	   9144	   9416	   9682	   9945	  10204	  10450	  10688	  10914	  11128	      0	
  195	      0	   1276	   1543	   1814	   2092	   2370	   2640	   2912	   3189	   3468	   3743	   4019	   4296	   4577	   4860	   5139	   5420	   5701	   6022	   6346	   6628	   6911	   7190	   7466	   7750	   8034	   8314	   8594	   8870	   9143	   9415	   9681	   9944	  10203	  10449	  10688	  10913	  11127	      0	
  196	      0	   1276	   1543	   1814	   2092	   2370	   2641	   2912	   3189	   3468	   3743	   4019	   4295	   4577	   4860	   5139	   5420	   5701	   6021	   6345	   6628	   6910	   7190	   7466	   7750	   8034	   8313	   8594	   8870	   9143	   9415	   9681	   9943	  10203	  10448	  10687	  10912	  11126	      0	
  197	      0	   1276	   1543	   1814	   2092	   2370	   2641	   2913	   3189	   3467	   3743	   4019	   4295	   4577	   4860	   5139	   5420	   5701	   6021	   6345	   6627	   6910	   7190	   7466	   7750	   8034	   8313	   8594	   8869	   9142	   9414	   9680	   9942	  10202	  10447	  10686	  10911	  11126	      0	
  198	      0	   1276	   1544	   1814	   2092	   2370	   2641	   2913	   3189	   3467	   3743	   4019	   4295	   4576	   4860	   5139	   5420	   5701	   6021	   6345	   6627	   6910	   7189	   7465	   7749	   8033	   8313	   8593	   8869	   9142	   9414	   9679	   9941	  10201	  10446	  10685	  10911	  11125	      0	
  199	      0	   1276	   1544	   1814	   2092	   2370	   2642	   2913	   3190	   3468	   3743	   4019	   4294	   4576	   4860	   5139	   5420	   5701	   6021	   6345	   6627	   6909	   7189	   7465	   7749	   8033	   8312	   8593	   8868	   9141	   9413	   9678	   9940	  10200	  10445	  10684	  10910	  11124	      0	
  200	      0	   1276	   1544	   1815	   2093	   2370	   2642	   2914	   3190	   3468	   3743	   4019	   4294	   4576	   4860	   5139	   5420	   5701	   6021	   6345	   6627	   6909	   7189	   7465	   7749	   8033	   8311	   8592	   8868	   9141	   9413	   9677	   9939	  10200	  10444	  10683	  10909	  11123	      0	
  201	      0	   1276	   1544	   1815	   2093	   2371	   2642	   2914	   3190	   3468	   3743	   4018	   4294	   4576	   4860	   5139	   5419	   5701	   6021	   6344	   6626	   6909	   7189	   7465	   7748	   8032	   8311	   8592	   8867	   9140	   9412	   9677	   9939	  10199	  10443	  10682	  10908	  11121	      0	
  202	      0	   1276	   1544	   1815	   2093	   2371	   2643	   2914	   3190	   3468	   3743	   4018	   4294	   4576	   4860	   5138	   5419	   5701	   6021	   6344	   6626	   6908	   7188	   7464	   7748	   8032	   8310	   8591	   8867	   9140	   9411	   9676	   9938	  10198	  10442	  10681	  10907	  11120	      0	
  203	      0	   1276	   1544	   1815	   2093	   2371	   2643	   2915	   3191	   3469	   3743	   4018	   4294	   4575	   4860	   5138	   5419	   5701	   6021	   6343	   6626	   6908	   7188	   7464	   7748	   8032	   8310	   8591	   8866	   9139	   9411	   9675	   9937	  10198	  10441	  10680	  10906	  11118	      0	
  204	      0	   1276	   1544	   1815	   2094	   2371	   2643	   2915	   3191	   3469	   3743	   4018	   4294	   4575	   4860	   5138	   5419	   5701	   6020	   6343	   6625	   6908	   7187	   7463	   7747	   8031	   8310	   8590	   8866	   9139	   9410	   9674	   9936	  10197	  10440	  10679	  10905	  11116	      0	
  205	      0	   1277	   1545	   1816	   2094	   2372	   2644	   2916	   3191	   3469	   3743	   4018	   4294	   4575	   4860	   5138	   5419	   5701	   6020	   6343	   6625	   6907	   7187	   7463	   7747	   8031	   8309	   8590	   8865	   9138	   9409	   9673	   9935	  10196	  10439	  10678	  10904	  11115	      0	
  206	      0	   1277	   1545	   1816	   2094	   2372	   2644	   2916	   3192	   3469	   3743	   4018	   4294	   4575	   4860	   5138	   5418	   5701	   6020	   6342	   6624	   6907	   7187	   7463	   7747	   8031	   8309	   8589	   8865	   9137	   9408	   9672	   9934	  10196	  10438	  10677	  10902	  11113	      0	
  207	      0	   1277	   1545	   1816	   2094	   2372	   2644	   2916	   3192	   3469	   3743	   4018	   4294	   4575	   4859	   5138	   5418	   5700	   6020	   6342	   6624	   6907	   7186	   7463	   7747	   8031	   8308	   8588	   8864	   9137	   9407	   9671	   9933	  10195	  10436	  10676	  10901	  11112	      0	
  208	      0	   1277	   1545	   1816	   2095	   2372	   2644	   2916	   3192	   3470	   3744	   4018	   4294	   4575	   4859	   5137	   5418	   5700	   6020	   6342	   6624	   6906	   7186	   7463	   7747	   8030	   8308	   8588	   8864	   9136	   9407	   9671	   9932	  10194	  10435	  10674	  10900	  11110	      0	
  209	      0	   1277	   1545	   1817	   2095	   2372	   2644	   2917	   3193	   3470	   3744	   4018	   4294	   4576	   4859	   5137	   5418	   5700	   6020	   6342	   6624	   6906	   7186	   7462	   7746	   8030	   8307	   8587	   8863	   9136	   9406	   9670	   9932	  10193	  10434	  10672	  10898	  11109	      0	
  210	      0	   1277	   1545	   1817	   2095	   2373	   2644	   2917	   3193	   3470	   3744	   4018	   4294	   4575	   4859	   5137	   5418	   5700	   6019	   6342	   6623	   6905	   7186	   7462	   7746	   8030	   8307	   8587	   8863	   9135	   9406	   9670	   9931	  10193	  10432	  10670	  10897	  11107	      0	
  211	      0	   1277	   1546	   1817	   2095	   2373	   2644	   2917	   3193	   3470	   3744	   4018	   4294	   4576	   4859	   5137	   5418	   5700	   6019	   6342	   6623	   6905	   7185	   7462	   7746	   8029	   8306	   8586	   8863	   9135	   9405	   9669	   9931	  10192	  10431	  10668	  10894	  11105	      0	
  212	      0	   1277	   1546	   1817	   2095	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4294	   4576	   4859	   5137	   5417	   5700	   6019	   6342	   6623	   6905	   7185	   7462	   7746	   8029	   8306	   8586	   8862	   9134	   9404	   9669	   9930	  10191	  10430	  10667	      0	      0	      0	
  213	      0	   1278	   1546	   1818	   2095	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4294	   4576	   4859	   5137	   5417	   5699	   6019	   6342	   6623	   6905	   7185	   7461	   7745	   8029	   8306	   8585	   8862	   9134	   9404	   9668	   9929	  10190	  10429	  10665	      0	      0	      0	
  214	      0	   1278	   1547	   1818	   2096	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4294	   4576	   4859	   5137	   5417	   5699	   6019	   6342	   6622	   6904	   7185	   7461	   7745	   8028	   8305	   8585	   8861	   9134	   9403	   9667	   9928	  10189	  10428	  10663	      0	      0	      0	
  215	      0	   1278	   1547	   1818	   2096	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4294	   4576	   4859	   5137	   5417	   5699	   6018	   6342	   6622	   6904	   7185	   7461	   7744	   8028	   8305	   8584	   8861	   9133	   9403	   9666	   9927	  10188	  10427	  10662	      0	      0	      0	
  216	      0	   1278	   1547	   1818	   2096	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4295	   4577	   4860	   5137	   5417	   5699	   6018	   6342	   6622	   6904	   7184	   7461	   7744	   8028	   8305	   8584	   8861	   9133	   9402	   9666	   9926	  10187	  10426	  10660	      0	      0	      0	
  217	      0	   1278	   1547	   1818	   2096	   2373	   2645	   2917	   3193	   3471	   3744	   4018	   4295	   4577	   4860	   5137	   5417	   5699	   6018	   6342	   6622	   6903	   7184	   7460	   7744	   8027	   8304	   8584	   8860	   9133	   9402	   9665	   9925	  10185	  10426	  10659	      0	      0	      0	
  218	      0	   1278	   1548	   1818	   2096	   2374	   2645	   2917	   3193	   3471	   3744	   4018	   4295	   4577	   4860	   5137	   5417	   5698	   6018	   6342	   6622	   6903	   7184	   7460	   7743	   8027	   8304	   8583	   8859	   9132	   9401	   9665	   9924	  10184	  10425	  10657	      0	      0	      0	
  219	      0	   1279	   1548	   1818	   2096	   2374	   2645	   2917	   3193	   3471	   3745	   4018	   4295	   4577	   4860	   5136	   5417	   5698	   6018	   6342	   6622	   6903	   7184	   7460	   7743	   8027	   8304	   8583	   8859	   9132	   9401	   9664	   9923	  10183	  10424	      0	      0	      0	      0	
  220	      0	   1279	   1548	   1818	   2096	   2374	   2645	   2917	   3193	   3471	   3745	   4018	   4295	   4578	   4860	   5136	   5416	   5698	   6018	   6342	   6621	   6903	   7183	   7459	   7743	   8026	   8303	   8582	   8858	   9131	   9400	   9663	   9922	  10181	  10427	      0	      0	      0	      0	
  221	      0	   1279	   1548	   1818	   2096	   2374	   2645	   2917	   3193	   3471	   3744	   4018	   4295	   4577	   4860	   5136	   5416	   5698	   6018	   6342	   6621	   6902	   7183	   7459	   7742	   8026	   8303	   8582	   8858	   9131	   9400	   9663	   9921	  10180	      0	      0	      0	      0	      0	
  222	      0	   1279	   1548	   1818	   2095	   2374	   2645	   2917	   3192	   3471	   3744	   4018	   4295	   4578	   4860	   5136	   5416	   5698	   6017	   6342	   6621	   6902	   7183	   7459	   7742	   8026	   8303	   8581	   8857	   9130	   9399	   9662	   9920	  10179	      0	      0	      0	      0	      0	
  223	      0	   1279	   1548	   1818	   2095	   2374	   2645	   2917	   3192	   3471	   3745	   4018	   4295	   4577	   4860	   5136	   5416	   5698	   6017	   6342	   6620	   6902	   7183	   7458	   7742	   8025	   8302	   8581	   8857	   9130	   9399	   9661	   9919	  10178	      0	      0	      0	      0	      0	
  224	      0	   1279	   1549	   1818	   2095	   2374	   2645	   2917	   3192	   3471	   3744	   4018	   4295	   4578	   4860	   5136	   5416	   5698	   6017	   6341	   6620	   6902	   7182	   7458	   7741	   8025	   8302	   8580	   8856	   9129	   9398	   9660	   9917	  10177	      0	      0	      0	      0	      0	
  225	      0	   1280	   1549	   1818	   2095	   2374	   2645	   2916	   3192	   3471	   3744	   4018	   4295	   4577	   4860	   5136	   5416	   5699	   6017	   6341	   6620	   6901	   7182	   7458	   7741	   8025	   8301	   8580	   8855	   9129	   9398	   9660	   9916	  10176	      0	      0	      0	      0	      0	
  226	      0	   1280	   1549	   1818	   2095	   2374	   2645	   2916	   3192	   3471	   3744	   4017	   4295	   4577	   4860	   5136	   5416	   5699	   6017	   6340	   6620	   6901	   7182	   7457	   7740	   8024	   8301	   8579	   8855	   9128	   9398	   9659	   9915	      0	      0	      0	      0	      0	      0	
  227	      0	   1280	   1549	   1818	   2095	   2374	   2645	   2916	   3192	   3471	   3744	   4017	   4295	   4577	   4860	   5136	   5416	   5699	   6017	   6340	   6619	   6901	   7181	   7457	   7740	   8024	   8300	   8579	   8854	   9128	   9397	   9658	      0	      0	      0	      0	      0	      0	      0	
  228	      0	   1280	   1549	   1817	   2095	   2374	   2645	   2916	   3192	   3471	   3744	   4017	   4295	   4577	   4860	   5136	   5416	   5699	   6016	   6340	   6619	   6900	   7181	   7457	   7739	   8023	   8300	   8578	   8853	   9127	   9397	   9658	      0	      0	      0	      0	      0	      0	      0	
  229	      0	   1280	   1549	   1817	   2095	   2373	   2645	   2916	   3192	   3470	   3744	   4017	   4295	   4577	   4860	   5136	   5416	   5698	   6016	   6339	   6618	   6900	   7181	   7456	   7739	   8023	   8299	   8577	   8853	   9127	   9396	   9657	      0	      0	      0	      0	      0	      0	      0	
  230	      0	   1280	   1549	   1817	   2095	   2373	   2645	   2917	   3191	   3470	   3743	   4017	   4294	   4577	   4860	   5136	   5416	   5698	   6016	   6339	   6618	   6900	   7180	   7456	   7739	   8023	   8299	   8577	   8852	   9126	   9396	   9656	      0	      0	      0	      0	      0	      0	      0	
  231	      0	   1280	   1549	   1817	   2095	   2373	   2645	   2917	   3192	   3470	   3743	   4017	   4294	   4577	   4860	   5136	   5416	   5698	   6016	   6338	   6617	   6899	   7179	   7455	   7738	   8022	   8298	   8576	   8851	   9126	   9395	   9655	      0	      0	      0	      0	      0	      0	      0	
  232	      0	   1280	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3470	   3743	   4016	   4294	   4577	   4859	   5136	   5416	   5698	   6016	   6338	   6617	   6899	   7179	   7455	   7738	   8022	   8298	   8576	   8851	   9125	   9395	   9655	      0	      0	      0	      0	      0	      0	      0	
  233	      0	   1281	   1549	   1817	   2095	   2373	   2645	   2917	   3192	   3469	   3743	   4016	   4294	   4576	   4859	   5135	   5416	   5698	   6015	   6338	   6617	   6899	   7179	   7455	   7737	   8021	   8298	   8576	   8850	   9124	   9394	   9654	      0	      0	      0	      0	      0	      0	      0	
  234	      0	   1281	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3469	   3743	   4016	   4294	   4576	   4859	   5135	   5416	   5698	   6015	   6337	   6617	   6899	   7179	   7455	   7737	   8021	   8297	   8575	   8850	   9124	   9394	   9654	      0	      0	      0	      0	      0	      0	      0	
  235	      0	   1281	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3469	   3743	   4016	   4293	   4576	   4859	   5135	   5416	   5698	   6015	   6337	   6616	   6899	   7179	   7454	   7737	   8020	   8297	   8575	   8849	   9123	   9393	   9653	      0	      0	      0	      0	      0	      0	      0	
  236	      0	   1281	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3469	   3742	   4016	   4293	   4576	   4858	   5135	   5415	   5697	   6015	   6337	   6616	   6898	   7178	   7454	   7736	   8020	   8296	   8574	   8848	   9122	   9393	   9653	      0	      0	      0	      0	      0	      0	      0	
  237	      0	   1281	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3469	   3742	   4016	   4293	   4576	   4858	   5135	   5415	   5697	   6015	   6336	   6616	   6898	   7178	   7454	   7736	   8019	   8296	   8574	   8848	   9122	   9392	   9652	      0	      0	      0	      0	      0	      0	      0	
  238	      0	   1281	   1549	   1817	   2094	   2373	   2645	   2917	   3192	   3469	   3742	   4016	   4293	   4576	   4858	   5134	   5415	   5697	   6015	   6336	   6615	   6898	   7178	   7454	   7735	   8019	   8296	   8574	   8847	   9121	   9392	   9651	      0	      0	      0	      0	      0	      0	      0	
  239	      0	   1281	   1549	   1817	   2094	   2373	   2644	   2917	   3192	   3469	   3742	   4016	   4292	   4575	   4858	   5134	   5415	   5697	   6015	   6336	   6615	   6897	   7177	   7453	   7735	   8019	   8295	   8573	   8846	   9120	   9391	   9651	      0	      0	      0	      0	      0	      0	      0	
  240	      0	   1281	   1549	   1817	   2094	   2373	   2644	   2917	   3192	   3469	   3742	   4016	   4292	   4575	   4858	   5134	   5414	   5697	   6015	   6336	   6615	   6897	   7177	   7453	   7735	   8018	   8295	   8573	   8846	   9120	   9391	   9650	      0	      0	      0	      0	      0	      0	      0	
  241	      0	   1281	   1549	   1817	   2094	   2372	   2644	   2917	   3192	   3468	   3741	   4016	   4292	   4575	   4858	   5133	   5414	   5696	   6015	   6336	   6615	   6897	   7177	   7453	   7734	   8018	   8295	   8573	   8845	   9120	   9391	   9650	      0	      0	      0	      0	      0	      0	      0	
